AveragePrice,region
1.33,Albany
1.35,Albany
0.93,Albany
1.08,Albany
1.28,Albany
1.26,Albany
0.99,Albany
0.98,Albany
1.02,Albany
1.07,Albany
1.12,Albany
1.28,Albany
1.31,Albany
0.99,Albany
1.33,Albany
1.28,Albany
1.11,Albany
1.07,Albany
1.34,Albany
1.33,Albany
1.12,Albany
1.45,Albany
1.11,Albany
1.26,Albany
1.05,Albany
1.35,Albany
1.37,Albany
1.27,Albany
1.32,Albany
1.07,Albany
1.23,Albany
1.19,Albany
1.43,Albany
1.26,Albany
1.2,Albany
1.22,Albany
1.19,Albany
1.13,Albany
1.16,Albany
1.02,Albany
1.12,Albany
1.11,Albany
1.07,Albany
0.99,Albany
1.07,Albany
1.06,Albany
0.99,Albany
0.99,Albany
1.06,Albany
1.17,Albany
1.24,Albany
1.22,Albany
0.99,Atlanta
1.08,Atlanta
0.96,Atlanta
1.07,Atlanta
0.99,Atlanta
1.0,Atlanta
1.13,Atlanta
1.12,Atlanta
0.99,Atlanta
1.09,Atlanta
1.09,Atlanta
0.95,Atlanta
0.96,Atlanta
1.07,Atlanta
0.93,Atlanta
1.07,Atlanta
0.97,Atlanta
1.15,Atlanta
1.12,Atlanta
1.09,Atlanta
1.01,Atlanta
1.15,Atlanta
1.08,Atlanta
0.97,Atlanta
1.14,Atlanta
1.01,Atlanta
1.13,Atlanta
0.99,Atlanta
1.1,Atlanta
0.99,Atlanta
1.1,Atlanta
0.96,Atlanta
1.11,Atlanta
1.1,Atlanta
1.0,Atlanta
1.12,Atlanta
1.12,Atlanta
0.99,Atlanta
1.04,Atlanta
1.11,Atlanta
1.0,Atlanta
1.12,Atlanta
1.1,Atlanta
0.99,Atlanta
1.1,Atlanta
1.06,Atlanta
1.03,Atlanta
0.96,Atlanta
1.1,Atlanta
1.11,Atlanta
1.11,Atlanta
1.0,Atlanta
1.17,BaltimoreWashington
1.11,BaltimoreWashington
1.15,BaltimoreWashington
1.04,BaltimoreWashington
1.16,BaltimoreWashington
1.12,BaltimoreWashington
1.04,BaltimoreWashington
1.05,BaltimoreWashington
1.12,BaltimoreWashington
1.19,BaltimoreWashington
0.99,BaltimoreWashington
1.24,BaltimoreWashington
1.28,BaltimoreWashington
1.19,BaltimoreWashington
1.17,BaltimoreWashington
1.09,BaltimoreWashington
1.18,BaltimoreWashington
1.24,BaltimoreWashington
1.16,BaltimoreWashington
1.14,BaltimoreWashington
1.16,BaltimoreWashington
1.17,BaltimoreWashington
1.2,BaltimoreWashington
1.18,BaltimoreWashington
1.1,BaltimoreWashington
1.16,BaltimoreWashington
1.15,BaltimoreWashington
1.16,BaltimoreWashington
1.09,BaltimoreWashington
1.26,BaltimoreWashington
1.19,BaltimoreWashington
1.18,BaltimoreWashington
1.27,BaltimoreWashington
1.26,BaltimoreWashington
1.17,BaltimoreWashington
1.29,BaltimoreWashington
1.28,BaltimoreWashington
1.15,BaltimoreWashington
1.29,BaltimoreWashington
1.25,BaltimoreWashington
1.1,BaltimoreWashington
1.24,BaltimoreWashington
1.26,BaltimoreWashington
1.16,BaltimoreWashington
1.11,BaltimoreWashington
1.25,BaltimoreWashington
1.09,BaltimoreWashington
1.06,BaltimoreWashington
1.2,BaltimoreWashington
1.23,BaltimoreWashington
1.17,BaltimoreWashington
1.08,BaltimoreWashington
0.97,Boise
1.03,Boise
0.99,Boise
0.71,Boise
1.06,Boise
