AveragePrice,region
1.03,Albany
1.05,Albany
0.6300000000000001,Albany
0.78,Albany
0.98,Albany
0.96,Albany
0.69,Albany
0.6799999999999999,Albany
0.72,Albany
0.77,Albany
0.8200000000000001,Albany
0.98,Albany
1.01,Albany
0.69,Albany
1.03,Albany
0.98,Albany
0.81,Albany
0.77,Albany
1.04,Albany
1.03,Albany
0.8200000000000001,Albany
1.15,Albany
0.81,Albany
0.96,Albany
0.75,Albany
1.05,Albany
1.07,Albany
0.97,Albany
1.02,Albany
0.77,Albany
0.9299999999999999,Albany
0.8899999999999999,Albany
1.13,Albany
0.96,Albany
0.8999999999999999,Albany
0.9199999999999999,Albany
0.8899999999999999,Albany
0.8299999999999998,Albany
0.8599999999999999,Albany
0.72,Albany
0.8200000000000001,Albany
0.81,Albany
0.77,Albany
0.69,Albany
0.77,Albany
0.76,Albany
0.69,Albany
0.69,Albany
0.76,Albany
0.8699999999999999,Albany
0.94,Albany
0.9199999999999999,Albany
0.69,Atlanta
0.78,Atlanta
0.6599999999999999,Atlanta
0.77,Atlanta
0.69,Atlanta
0.7,Atlanta
0.8299999999999998,Atlanta
0.8200000000000001,Atlanta
0.69,Atlanta
0.79,Atlanta
0.79,Atlanta
0.6499999999999999,Atlanta
0.6599999999999999,Atlanta
0.77,Atlanta
0.6300000000000001,Atlanta
0.77,Atlanta
0.6699999999999999,Atlanta
0.8499999999999999,Atlanta
0.8200000000000001,Atlanta
0.79,Atlanta
0.71,Atlanta
0.8499999999999999,Atlanta
0.78,Atlanta
0.6699999999999999,Atlanta
0.8399999999999999,Atlanta
0.71,Atlanta
0.8299999999999998,Atlanta
0.69,Atlanta
0.8,Atlanta
0.69,Atlanta
0.8,Atlanta
0.6599999999999999,Atlanta
0.81,Atlanta
0.8,Atlanta
0.7,Atlanta
0.8200000000000001,Atlanta
0.8200000000000001,Atlanta
0.69,Atlanta
0.74,Atlanta
0.81,Atlanta
0.7,Atlanta
0.8200000000000001,Atlanta
0.8,Atlanta
0.69,Atlanta
0.8,Atlanta
0.76,Atlanta
0.73,Atlanta
0.6599999999999999,Atlanta
0.8,Atlanta
0.81,Atlanta
0.81,Atlanta
0.7,Atlanta
0.8699999999999999,BaltimoreWashington
0.81,BaltimoreWashington
0.8499999999999999,BaltimoreWashington
0.74,BaltimoreWashington
0.8599999999999999,BaltimoreWashington
0.8200000000000001,BaltimoreWashington
0.74,BaltimoreWashington
0.75,BaltimoreWashington
0.8200000000000001,BaltimoreWashington
0.8899999999999999,BaltimoreWashington
0.69,BaltimoreWashington
0.94,BaltimoreWashington
0.98,BaltimoreWashington
0.8899999999999999,BaltimoreWashington
0.8699999999999999,BaltimoreWashington
0.79,BaltimoreWashington
0.8799999999999999,BaltimoreWashington
0.94,BaltimoreWashington
0.8599999999999999,BaltimoreWashington
0.8399999999999999,BaltimoreWashington
0.8599999999999999,BaltimoreWashington
0.8699999999999999,BaltimoreWashington
0.8999999999999999,BaltimoreWashington
0.8799999999999999,BaltimoreWashington
0.8,BaltimoreWashington
0.8599999999999999,BaltimoreWashington
0.8499999999999999,BaltimoreWashington
0.8599999999999999,BaltimoreWashington
0.79,BaltimoreWashington
0.96,BaltimoreWashington
0.8899999999999999,BaltimoreWashington
0.8799999999999999,BaltimoreWashington
0.97,BaltimoreWashington
0.96,BaltimoreWashington
0.8699999999999999,BaltimoreWashington
0.99,BaltimoreWashington
0.98,BaltimoreWashington
0.8499999999999999,BaltimoreWashington
0.99,BaltimoreWashington
0.95,BaltimoreWashington
0.8,BaltimoreWashington
0.94,BaltimoreWashington
0.96,BaltimoreWashington
0.8599999999999999,BaltimoreWashington
0.81,BaltimoreWashington
0.95,BaltimoreWashington
0.79,BaltimoreWashington
0.76,BaltimoreWashington
0.8999999999999999,BaltimoreWashington
0.9299999999999999,BaltimoreWashington
0.8699999999999999,BaltimoreWashington
0.78,BaltimoreWashington
0.6699999999999999,Boise
0.73,Boise
0.69,Boise
0.41,Boise
0.76,Boise
0.79,Boise
0.71,Boise
0.81,Boise
0.8399999999999999,Boise
0.81,Boise
0.8599999999999999,Boise
0.6399999999999999,Boise
0.8200000000000001,Boise
0.69,Boise
0.73,Boise
0.78,Boise
0.8599999999999999,Boise
0.8899999999999999,Boise
0.75,Boise
0.8200000000000001,Boise
0.8,Boise
0.77,Boise
0.77,Boise
0.79,Boise
0.75,Boise
0.8499999999999999,Boise
0.74,Boise
0.76,Boise
0.69,Boise
0.8200000000000001,Boise
0.6699999999999999,Boise
0.73,Boise
0.6599999999999999,Boise
0.76,Boise
0.7,Boise
0.6599999999999999,Boise
0.69,Boise
0.8899999999999999,Boise
0.79,Boise
0.6799999999999999,Boise
0.8699999999999999,Boise
0.7,Boise
0.8399999999999999,Boise
0.76,Boise
0.69,Boise
0.8399999999999999,Boise
0.77,Boise
0.6100000000000001,Boise
0.73,Boise
0.78,Boise
0.8799999999999999,Boise
0.71,Boise
0.8299999999999998,Boston
0.77,Boston
0.71,Boston
0.72,Boston
0.8899999999999999,Boston
0.77,Boston
0.75,Boston
0.74,Boston
0.76,Boston
0.72,Boston
0.6399999999999999,Boston
