AveragePrice,region
1.9300000000000002,Albany
1.9500000000000002,Albany
1.5300000000000002,Albany
1.6800000000000002,Albany
1.88,Albany
1.8599999999999999,Albany
1.5899999999999999,Albany
1.58,Albany
1.62,Albany
1.67,Albany
1.7200000000000002,Albany
1.88,Albany
1.9100000000000001,Albany
1.5899999999999999,Albany
1.9300000000000002,Albany
1.88,Albany
1.71,Albany
1.67,Albany
1.94,Albany
1.9300000000000002,Albany
1.7200000000000002,Albany
2.05,Albany
1.71,Albany
1.8599999999999999,Albany
1.65,Albany
1.9500000000000002,Albany
1.9700000000000002,Albany
1.87,Albany
1.92,Albany
1.67,Albany
1.83,Albany
1.79,Albany
2.03,Albany
1.8599999999999999,Albany
1.7999999999999998,Albany
1.8199999999999998,Albany
1.79,Albany
1.73,Albany
1.7599999999999998,Albany
1.62,Albany
1.7200000000000002,Albany
1.71,Albany
1.67,Albany
1.5899999999999999,Albany
1.67,Albany
1.6600000000000001,Albany
1.5899999999999999,Albany
1.5899999999999999,Albany
1.6600000000000001,Albany
1.77,Albany
1.8399999999999999,Albany
1.8199999999999998,Albany
1.5899999999999999,Atlanta
1.6800000000000002,Atlanta
1.56,Atlanta
1.67,Atlanta
1.5899999999999999,Atlanta
1.6,Atlanta
1.73,Atlanta
1.7200000000000002,Atlanta
1.5899999999999999,Atlanta
1.69,Atlanta
1.69,Atlanta
1.5499999999999998,Atlanta
1.56,Atlanta
1.67,Atlanta
1.5300000000000002,Atlanta
1.67,Atlanta
1.5699999999999998,Atlanta
1.75,Atlanta
1.7200000000000002,Atlanta
1.69,Atlanta
1.6099999999999999,Atlanta
1.75,Atlanta
1.6800000000000002,Atlanta
1.5699999999999998,Atlanta
1.7399999999999998,Atlanta
1.6099999999999999,Atlanta
1.73,Atlanta
1.5899999999999999,Atlanta
1.7000000000000002,Atlanta
1.5899999999999999,Atlanta
1.7000000000000002,Atlanta
1.56,Atlanta
1.71,Atlanta
1.7000000000000002,Atlanta
1.6,Atlanta
1.7200000000000002,Atlanta
1.7200000000000002,Atlanta
1.5899999999999999,Atlanta
1.6400000000000001,Atlanta
1.71,Atlanta
1.6,Atlanta
1.7200000000000002,Atlanta
1.7000000000000002,Atlanta
1.5899999999999999,Atlanta
1.7000000000000002,Atlanta
1.6600000000000001,Atlanta
1.63,Atlanta
1.56,Atlanta
1.7000000000000002,Atlanta
1.71,Atlanta
1.71,Atlanta
1.6,Atlanta
1.77,BaltimoreWashington
1.71,BaltimoreWashington
1.75,BaltimoreWashington
1.6400000000000001,BaltimoreWashington
1.7599999999999998,BaltimoreWashington
1.7200000000000002,BaltimoreWashington
1.6400000000000001,BaltimoreWashington
1.65,BaltimoreWashington
1.7200000000000002,BaltimoreWashington
1.79,BaltimoreWashington
1.5899999999999999,BaltimoreWashington
1.8399999999999999,BaltimoreWashington
1.88,BaltimoreWashington
1.79,BaltimoreWashington
1.77,BaltimoreWashington
1.69,BaltimoreWashington
1.7799999999999998,BaltimoreWashington
1.8399999999999999,BaltimoreWashington
1.7599999999999998,BaltimoreWashington
1.7399999999999998,BaltimoreWashington
1.7599999999999998,BaltimoreWashington
1.77,BaltimoreWashington
1.7999999999999998,BaltimoreWashington
1.7799999999999998,BaltimoreWashington
1.7000000000000002,BaltimoreWashington
1.7599999999999998,BaltimoreWashington
1.75,BaltimoreWashington
1.7599999999999998,BaltimoreWashington
1.69,BaltimoreWashington
1.8599999999999999,BaltimoreWashington
1.79,BaltimoreWashington
1.7799999999999998,BaltimoreWashington
1.87,BaltimoreWashington
1.8599999999999999,BaltimoreWashington
1.77,BaltimoreWashington
1.8900000000000001,BaltimoreWashington
1.88,BaltimoreWashington
1.75,BaltimoreWashington
1.8900000000000001,BaltimoreWashington
1.85,BaltimoreWashington
1.7000000000000002,BaltimoreWashington
1.8399999999999999,BaltimoreWashington
1.8599999999999999,BaltimoreWashington
1.7599999999999998,BaltimoreWashington
1.71,BaltimoreWashington
1.85,BaltimoreWashington
1.69,BaltimoreWashington
1.6600000000000001,BaltimoreWashington
1.7999999999999998,BaltimoreWashington
1.83,BaltimoreWashington
1.77,BaltimoreWashington
1.6800000000000002,BaltimoreWashington
1.5699999999999998,Boise
1.63,Boise
1.5899999999999999,Boise
1.31,Boise
1.6600000000000001,Boise
1.69,Boise
1.6099999999999999,Boise
1.71,Boise
1.7399999999999998,Boise
1.71,Boise
1.7599999999999998,Boise
1.54,Boise
1.7200000000000002,Boise
1.5899999999999999,Boise
1.63,Boise
1.6800000000000002,Boise
1.7599999999999998,Boise
1.79,Boise
1.65,Boise
1.7200000000000002,Boise
1.7000000000000002,Boise
1.67,Boise
1.67,Boise
1.69,Boise
1.65,Boise
1.75,Boise
1.6400000000000001,Boise
1.6600000000000001,Boise
1.5899999999999999,Boise
1.7200000000000002,Boise
1.5699999999999998,Boise
1.63,Boise
1.56,Boise
1.6600000000000001,Boise
1.6,Boise
1.56,Boise
1.5899999999999999,Boise
1.79,Boise
1.69,Boise
1.58,Boise
1.77,Boise
1.6,Boise
1.7399999999999998,Boise
1.6600000000000001,Boise
1.5899999999999999,Boise
1.7399999999999998,Boise
1.67,Boise
1.5100000000000002,Boise
1.63,Boise
1.6800000000000002,Boise
1.7799999999999998,Boise
1.6099999999999999,Boise
1.73,Boston
1.67,Boston
1.6099999999999999,Boston
1.62,Boston
1.79,Boston
1.67,Boston
1.65,Boston
1.6400000000000001,Boston
1.6600000000000001,Boston
1.62,Boston
1.54,Boston
1.7399999999999998,Boston
1.67,Boston
1.67,Boston
1.75,Boston
1.63,Boston
1.71,Boston
1.73,Boston
1.67,Boston
1.75,Boston
1.67,Boston
1.77,Boston
1.88,Boston
1.7799999999999998,Boston
1.7399999999999998,Boston
1.87,Boston
1.85,Boston
1.8399999999999999,Boston
1.6800000000000002,Boston
1.85,Boston
1.8599999999999999,Boston
1.7399999999999998,Boston
1.8599999999999999,Boston
1.7399999999999998,Boston
1.77,Boston
1.88,Boston
1.75,Boston
1.8599999999999999,Boston
1.87,Boston
1.79,Boston
1.7799999999999998,Boston
1.85,Boston
1.77,Boston
1.71,Boston
1.83,Boston
1.7999999999999998,Boston
1.6400000000000001,Boston
1.8199999999999998,Boston
1.77,Boston
1.83,Boston
1.7000000000000002,Boston
1.62,Boston
1.9500000000000002,BuffaloRochester
1.9700000000000002,BuffaloRochester
1.9500000000000002,BuffaloRochester
1.83,BuffaloRochester
1.9899999999999998,BuffaloRochester
2.0,BuffaloRochester
1.96,BuffaloRochester
1.9,BuffaloRochester
1.83,BuffaloRochester
1.96,BuffaloRochester
1.8900000000000001,BuffaloRochester
1.9,BuffaloRochester
1.9300000000000002,BuffaloRochester
1.9100000000000001,BuffaloRochester
2.14,BuffaloRochester
2.19,BuffaloRochester
2.16,BuffaloRochester
1.98,BuffaloRochester
2.09,BuffaloRochester
2.1,BuffaloRochester
2.07,BuffaloRochester
2.07,BuffaloRochester
1.9899999999999998,BuffaloRochester
1.96,BuffaloRochester
2.05,BuffaloRochester
2.07,BuffaloRochester
1.96,BuffaloRochester
2.1,BuffaloRochester
1.94,BuffaloRochester
1.98,BuffaloRochester
2.0,BuffaloRochester
2.03,BuffaloRochester
1.9500000000000002,BuffaloRochester
1.9300000000000002,BuffaloRochester
2.02,BuffaloRochester
2.01,BuffaloRochester
2.02,BuffaloRochester
2.02,BuffaloRochester
2.04,BuffaloRochester
1.9899999999999998,BuffaloRochester
2.0,BuffaloRochester
2.07,BuffaloRochester
1.9500000000000002,BuffaloRochester
2.03,BuffaloRochester
2.01,BuffaloRochester
2.04,BuffaloRochester
1.96,BuffaloRochester
1.9300000000000002,BuffaloRochester
2.1,BuffaloRochester
2.12,BuffaloRochester
2.14,BuffaloRochester
2.0,BuffaloRochester
1.5,California
1.54,California
1.4700000000000002,California
1.3800000000000001,California
1.5100000000000002,California
1.52,California
1.4300000000000002,California
1.58,California
1.5499999999999998,California
1.7200000000000002,California
1.67,California
1.6800000000000002,California
1.62,California
1.6400000000000001,California
1.7399999999999998,California
1.73,California
1.69,California
1.6800000000000002,California
1.7799999999999998,California
1.71,California
1.7000000000000002,California
1.7599999999999998,California
1.73,California
1.7799999999999998,California
1.73,California
1.7200000000000002,California
1.7000000000000002,California
1.67,California
1.5699999999999998,California
1.58,California
1.58,California
1.7000000000000002,California
1.6800000000000002,California
1.5300000000000002,California
1.48,California
1.75,California
1.65,California
1.6600000000000001,California
1.7200000000000002,California
1.7000000000000002,California
1.6600000000000001,California
1.6600000000000001,California
1.56,California
1.44,California
1.56,California
1.56,California
1.5100000000000002,California
1.4500000000000002,California
1.6600000000000001,California
1.62,California
1.52,California
1.5300000000000002,California
1.56,Charlotte
1.58,Charlotte
1.5499999999999998,Charlotte
1.5899999999999999,Charlotte
1.5499999999999998,Charlotte
1.6,Charlotte
1.6099999999999999,Charlotte
1.63,Charlotte
1.71,Charlotte
1.87,Charlotte
1.8599999999999999,Charlotte
1.7399999999999998,Charlotte
1.8199999999999998,Charlotte
1.69,Charlotte
1.7999999999999998,Charlotte
1.79,Charlotte
1.6099999999999999,Charlotte
1.7999999999999998,Charlotte
1.75,Charlotte
1.8399999999999999,Charlotte
1.81,Charlotte
1.8399999999999999,Charlotte
1.83,Charlotte
1.79,Charlotte
1.7799999999999998,Charlotte
1.7799999999999998,Charlotte
1.77,Charlotte
1.77,Charlotte
1.75,Charlotte
1.75,Charlotte
1.79,Charlotte
1.7999999999999998,Charlotte
1.81,Charlotte
1.79,Charlotte
1.6,Charlotte
1.7999999999999998,Charlotte
1.7799999999999998,Charlotte
1.77,Charlotte
1.79,Charlotte
1.83,Charlotte
1.79,Charlotte
1.79,Charlotte
1.85,Charlotte
1.7799999999999998,Charlotte
1.6800000000000002,Charlotte
1.8199999999999998,Charlotte
1.77,Charlotte
1.58,Charlotte
1.7799999999999998,Charlotte
1.85,Charlotte
1.8599999999999999,Charlotte
1.79,Charlotte
1.5300000000000002,Chicago
1.5100000000000002,Chicago
1.67,Chicago
1.7399999999999998,Chicago
1.71,Chicago
1.54,Chicago
1.77,Chicago
1.6099999999999999,Chicago
1.6,Chicago
1.7200000000000002,Chicago
1.75,Chicago
1.6800000000000002,Chicago
1.7799999999999998,Chicago
1.75,Chicago
1.79,Chicago
1.79,Chicago
1.71,Chicago
1.7200000000000002,Chicago
1.7999999999999998,Chicago
1.7599999999999998,Chicago
1.85,Chicago
1.87,Chicago
1.7200000000000002,Chicago
1.8399999999999999,Chicago
1.8599999999999999,Chicago
1.8399999999999999,Chicago
1.81,Chicago
1.8399999999999999,Chicago
1.81,Chicago
1.8399999999999999,Chicago
1.8599999999999999,Chicago
1.83,Chicago
1.83,Chicago
1.83,Chicago
1.6400000000000001,Chicago
1.8399999999999999,Chicago
1.8399999999999999,Chicago
1.8399999999999999,Chicago
1.87,Chicago
1.8199999999999998,Chicago
1.81,Chicago
1.69,Chicago
1.7799999999999998,Chicago
1.69,Chicago
1.7799999999999998,Chicago
1.77,Chicago
1.73,Chicago
1.5100000000000002,Chicago
1.8199999999999998,Chicago
1.7399999999999998,Chicago
1.75,Chicago
1.71,Chicago
1.4700000000000002,CincinnatiDayton
1.4500000000000002,CincinnatiDayton
1.3900000000000001,CincinnatiDayton
1.4300000000000002,CincinnatiDayton
1.48,CincinnatiDayton
1.4900000000000002,CincinnatiDayton
1.48,CincinnatiDayton
